Name	ID	Date	Time		Latitude	Longitude	Speed
TERMINATED - 401775	401775	1/11/2019	10:01		47.621662	07.535633	0.37
Odissa	401777	1/11/2019	11:00		47.628215	07.559883	0.56
Onissoi	401776	1/11/2019	11:00		47.628232	07.559392	0.56
Odaline	401778	1/11/2019	11:00		47.628530	07.558823	0.37
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	11:00		47.628370	07.558995	0.37
TERMINATED - 401775	401775	1/11/2019	11:00		47.621897	07.535253	0.19
Onissoi	401776	1/11/2019	12:00		47.630698	07.557528	0.56
Odaline	401778	1/11/2019	12:00		47.630638	07.557165	0.74
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	12:00		47.629772	07.557765	0.37
Odissa	401777	1/11/2019	12:00		47.630295	07.557585	0.74
Onissoi	401776	1/11/2019	13:00		47.629713	07.559655	0
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	13:00		47.630495	07.557305	0.37
TERMINATED - 401775	401775	1/11/2019	13:00		47.621735	07.535310	0.37
Odaline	401778	1/11/2019	13:01		47.630307	07.556832	0.37
Odaline	401778	1/11/2019	14:00		47.630800	07.557233	0.74
Odissa	401777	1/11/2019	14:00		47.630730	07.557208	0.56
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	14:00		47.630403	07.557198	0.19
Onissoi	401776	1/11/2019	14:00		47.630997	07.557165	0.37
Odissa	401777	1/11/2019	15:00		47.630353	07.556087	0.19
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	15:00		47.629622	07.557350	1.48
Odaline	401778	1/11/2019	15:00		47.630568	07.556373	1.67
Onissoi	401776	1/11/2019	15:00		47.630888	07.555618	0.56
TERMINATED - 401775	401775	1/11/2019	15:00		47.624862	07.531217	28.71
TERMINATED - 401775	401775	1/11/2019	16:00		47.631172	07.557197	0.19
Onissoi	401776	1/11/2019	16:00		47.630903	07.557213	1.11
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	16:00		47.630707	07.556967	0.37
Odissa	401777	1/11/2019	16:00		47.630633	07.557545	0.56
Odaline	401778	1/11/2019	16:00		47.630868	07.557463	0.74
TERMINATED - 401775	401775	1/11/2019	17:00		47.630495	07.560857	5.93
Onissoi	401776	1/11/2019	17:00		47.630127	07.561070	5.56
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	17:00		47.630957	07.559858	0
