Name	ID	Date	Time		Latitude	Longitude	Speed
Onissoi	401776	9/4/2020	21:00		47.629803	07.556552	0.56
TERMINATED - 401707	401707	9/4/2020	21:00		47.629820	07.556667	0.56
TERMINATED - 401775	401775	9/4/2020	21:00		47.630307	07.556137	0.56
Odissa	401777	9/4/2020	21:00		47.629773	07.556548	0.19
Onissoi	401776	9/4/2020	22:00		47.630618	07.555250	0.19
TERMINATED - 401707	401707	9/4/2020	22:00		47.630610	07.556887	0.74
TERMINATED - 401775	401775	9/4/2020	22:01		47.630738	07.555848	0.37
TERMINATED - 401775	401775	9/4/2020	23:00		47.631358	07.556542	0.37
Onissoi	401776	9/4/2020	23:00		47.631348	07.556545	0.19
TERMINATED - 401707	401707	9/4/2020	23:00		47.631233	07.556625	0.19
Odissa	401777	9/4/2020	23:01		47.631072	07.556762	1.85
TERMINATED - 401775	401775	9/5/2020	00:00		47.631840	07.556592	0.37
Odissa	401777	9/5/2020	00:00		47.630847	07.557010	1.11
Onissoi	401776	9/5/2020	00:00		47.631625	07.556327	0.56
TERMINATED - 401707	401707	9/5/2020	00:00		47.631195	07.556998	0.19
Onissoi	401776	9/5/2020	01:00		47.631042	07.556313	0.56
TERMINATED - 401775	401775	9/5/2020	01:00		47.630968	07.556657	0.56
TERMINATED - 401707	401707	9/5/2020	01:00		47.630802	07.556785	0.19
Odissa	401777	9/5/2020	01:00		47.630652	07.556792	0
Onissoi	401776	9/5/2020	02:00		47.630348	07.557755	0.37
TERMINATED - 401775	401775	9/5/2020	02:00		47.630238	07.557677	0.19
TERMINATED - 401707	401707	9/5/2020	02:00		47.630793	07.557262	0.37
Odissa	401777	9/5/2020	02:00		47.630247	07.557798	0.56
Onissoi	401776	9/5/2020	03:00		47.629597	07.556508	0.74
TERMINATED - 401707	401707	9/5/2020	03:00		47.629178	07.556773	0.37
TERMINATED - 401775	401775	9/5/2020	03:00		47.629738	07.556538	0.56
Odissa	401777	9/5/2020	03:00		47.629677	07.556633	1.85
TERMINATED - 401775	401775	9/5/2020	04:00		47.628420	07.558048	4.44
TERMINATED - 401707	401707	9/5/2020	04:00		47.628720	07.557610	0
Onissoi	401776	9/5/2020	04:00		47.628440	07.558015	0
TERMINATED - 401707	401707	9/5/2020	05:00		47.628410	07.558308	0.93
Onissoi	401776	9/5/2020	05:00		47.629312	07.557397	0.37
